teff,logg,feh,chi2
5000,3.5,-0.5,4786.282493352451
5000,3.5,0.0,6360.480923485005
5000,3.5,0.5,8500.588396586103
5000,4.0,-0.5,4745.373000501122
5000,4.0,0.0,6108.288010035945
5000,4.0,0.5,8202.000411149897
5000,4.5,-0.5,4761.082797494673
5000,4.5,0.0,6089.085569100275
5000,4.5,0.5,8036.850792386926
5000,5.0,-0.5,4891.96277200917
5000,5.0,0.0,6292.775969572676
5000,5.0,0.5,8178.3519899323055
5200,3.5,-0.5,4277.292790419075
5200,3.5,0.0,5756.010400978682
5200,3.5,0.5,7707.646727372326
5200,4.0,-0.5,4253.741318791204
5200,4.0,0.0,5494.2420331108115
5200,4.0,0.5,7518.897264302814
5200,4.5,-0.5,4287.8317947517335
5200,4.5,0.0,5523.950111673792
5200,4.5,0.5,7290.780954956925
5200,5.0,-0.5,4377.748525980466
5200,5.0,0.0,5641.100883863868
5200,5.0,0.5,7309.39893155921
5500,3.5,-0.5,3736.4281488807737
5500,3.5,0.0,4859.374449940085
5500,3.5,0.5,6461.758414065043
5500,4.0,-0.5,3719.732999452787
5500,4.0,0.0,4856.34191098157
5500,4.0,0.5,6307.906275812347
5500,4.5,-0.5,3739.2345101344063
5500,4.5,0.0,4873.181453609393
5500,4.5,0.5,6354.229016695475
5500,5.0,-0.5,3830.0604439759563
5500,5.0,0.0,4925.076197237635
5500,5.0,0.5,6350.0648915278125
5700,3.5,-0.5,3587.8591669960806
5700,3.5,0.0,4692.5744138103355
5700,3.5,0.5,6280.354052802844
5700,4.0,-0.5,3465.7587882424905
5700,4.0,0.0,4505.330654138865
5700,4.0,0.5,6164.2573704070965
5700,4.5,-0.5,3490.0206244577366
5700,4.5,0.0,4463.845681916379
5700,4.5,0.5,5862.183358224571
5700,5.0,-0.5,3558.23760004487
5700,5.0,0.0,4533.4023909465905
5700,5.0,0.5,5980.247334641229
6000,3.5,-0.5,3348.0127608122402
6000,3.5,0.0,4377.846937902953
6000,3.5,0.5,5936.748949758918
6000,4.0,-0.5,3206.4338437514753
6000,4.0,0.0,4153.866297625844
6000,4.0,0.5,5552.831072766232
6000,4.5,-0.5,3195.6873403408754
6000,4.5,0.0,4025.09756710799
6000,4.5,0.5,5407.21608790377
6000,5.0,-0.5,3199.247255978513
6000,5.0,0.0,4038.1802383613544
6000,5.0,0.5,5404.023540397954
6200,3.5,-0.5,3312.054233537706
6200,3.5,0.0,4151.714016278334
6200,3.5,0.5,5617.787616338066
6200,4.0,-0.5,3159.883867905192
6200,4.0,0.0,3994.307325724996
6200,4.0,0.5,5246.999938383238
6200,4.5,-0.5,3107.406450222212
6200,4.5,0.0,3819.2639710708654
6200,4.5,0.5,5098.727225636742
6200,5.0,-0.5,3052.3961544267163
6200,5.0,0.0,3852.785383085854
6200,5.0,0.5,5045.396974362524
6500,3.5,-0.5,3410.8569891919624
6500,3.5,0.0,4219.950066543326
6500,3.5,0.5,5353.635682201497
6500,4.0,-0.5,3245.787985694484
6500,4.0,0.0,3937.2885006229067
6500,4.0,0.5,5067.309605361666
6500,4.5,-0.5,3079.425491359933
6500,4.5,0.0,3725.2872143416907
6500,4.5,0.5,4817.343938915086
6500,5.0,-0.5,3036.463906088543
6500,5.0,0.0,3669.127549357192
6500,5.0,0.5,4729.804324287153
6700,3.5,-0.5,3584.114053940277
6700,3.5,0.0,4340.940822801484
6700,3.5,0.5,5507.034324767361
6700,4.0,-0.5,3377.9745214409813
6700,4.0,0.0,4072.1443023816073
6700,4.0,0.5,5181.9250098352695
6700,4.5,-0.5,3166.904028695748
6700,4.5,0.0,3774.5493006484658
6700,4.5,0.5,4807.731457663597
6700,5.0,-0.5,3082.0312817689332
6700,5.0,0.0,3658.3558281614532
6700,5.0,0.5,4664.85509328477
7000,3.5,-0.5,3977.4095034798556
7000,3.5,0.0,4600.75878421339
7000,3.5,0.5,5492.477844433063
7000,4.0,-0.5,3750.92210698271
7000,4.0,0.0,4378.960966752883
7000,4.0,0.5,5316.910764777087
7000,4.5,-0.5,3446.6969259488933
7000,4.5,0.0,4020.6637610193934
7000,4.5,0.5,4969.220999117577
7000,5.0,-0.5,3298.1741518326985
7000,5.0,0.0,3826.9674526586296
7000,5.0,0.5,4766.732957275379
